Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1285903,Mafia K'1 Fry,J'ai La Rime,2WwEomOfkSXyuolQV8MEOf,9,2009,french,0.564,0.764,11,-5.613,0,0.368,0.243,0.0,0.337,0.883,87.982,275747,4
128869,Maciel Melo,Não Mereço Você,1Xnc64yYH6QpieXHqlEWQW,7,2014,forro,0.414,0.8,4,-6.564,0,0.112,0.306,0.0,0.164,0.668,196.061,240204,4
1282877,Girlfriends,Patrick Ewing (Reverse),6PYMYH5LsBPsiMRO2SLnpa,9,2009,emo,0.554,0.747,1,-9.428,0,0.32,0.922,0.899,0.135,0.514,105.762,127693,4
497675,Attom,Our Place,0uEDjq4vYsAOtvtCgPC46Q,45,2021,french,0.543,0.671,2,-6.455,1,0.0454,0.435,0.431,0.0826,0.0452,109.095,200642,4
1396313,Andrea Motis,Lousiana Fairy Tale,1aidpjCB1qCbBbxA4uTozJ,27,2010,spanish,0.664,0.218,2,-10.481,0,0.0418,0.942,4.12e-05,0.0911,0.359,110.661,223333,4
379223,Charly Black,Happy Zone,1hztLLxBAek7p477gkgQZP,15,2019,dancehall,0.867,0.71,6,-5.445,1,0.0415,0.464,1.79e-06,0.0489,0.962,102.002,209987,4
228315,Phats & Small,Turn Around (Hey What's Wrong With You) (ANR108) - Mousse T's Dirty Little Funker,3ofva5FVSn5Y1yFVl6JFUC,35,2016,disco,0.659,0.902,8,-6.474,0,0.106,0.0483,0.0224,0.713,0.213,124.52,81234,4
462502,Atif Aslam,Ik Naya Khuwab,5FwqMazEuNQNSRZOtcsXMl,31,2020,pop-film,0.729,0.62,0,-8.761,1,0.0446,0.628,0.0,0.146,0.375,118.058,157518,4
25844,Lexi,Burn It All Down - Single,2hmRjwY1COj3fxxLwC4sqz,13,2012,gospel,0.501,0.647,6,-5.254,1,0.0426,0.322,8.44e-05,0.53,0.408,135.756,299237,4
5719,Hybrid,Keep It In The Family,6vw4b278AeyMtz1KnF0fGh,7,2012,breakbeat,0.53,0.631,4,-12.078,0,0.0359,0.285,0.856,0.11,0.174,132.002,360000,3
77353,Wayne Shorter,Orbits - Live In Europe/2011,6dL73JUZw1d2YS9b3vSe55,19,2013,funk,0.464,0.553,7,-8.659,1,0.0581,0.71,0.687,0.701,0.181,81.091,290133,4
1128419,Aruna Sairam,Madumeikkum,2mnighKXWicnOL7ReLmE1c,23,2007,classical,0.606,0.641,5,-7.065,1,0.127,0.883,0.0,0.879,0.631,126.304,201093,3
748208,Commodores,High On Sunshine,2fASRexNUVOnUcEFSzDtmI,15,2001,disco,0.401,0.481,1,-9.858,0,0.0312,0.537,0.0,0.12,0.578,95.122,264027,4
937998,Samuel L Session,Songo,0ZsLQvadAWUeFePL3sYEcp,9,2004,electro,0.707,0.883,10,-8.172,0,0.0638,0.00403,0.904,0.185,0.319,132.004,327430,4
1340083,Yngwie Malmsteen,Arpeggios from Hell,1QahEMjwzaOZ1AL3BH6yyJ,38,2010,classical,0.442,0.908,10,-6.019,0,0.0731,0.00225,0.97,0.116,0.352,93.992,138280,3
340257,Doro,Turn It Up,20fCAD5MFPgSTOy0HlFEr8,10,2018,heavy-metal,0.504,0.98,5,-5.84,0,0.108,0.0094,0.0,0.283,0.539,136.044,203340,4
559792,Fahrenheit 212,Wer kennt die Momente - 2022,2Ylb57C5z0eja3iZaCq0hR,0,2022,heavy-metal,0.527,0.965,2,-4.943,1,0.0402,0.000788,0.000735,0.306,0.416,97.496,233202,4
410236,The Dreadnoughts,Fire Marengo,7bhMOBk9pTAnapiQh9Evyc,52,2019,rock,0.708,0.368,5,-8.314,1,0.0507,0.807,0.0,0.152,0.879,133.748,111533,4
1266633,my little airport,藍白紅風格練習,1406eGydAvhfLJr58x88QJ,22,2009,cantopop,0.469,0.435,4,-9.943,0,0.0544,0.964,0.00286,0.118,0.265,69.551,58790,4
1059790,Wolfgang Amadeus Mozart,"Mozart: Don Giovanni, Act 2: ""Deh vieni alla fenestra"" (Don Giovanni)",4CiCHoNvlI9W5v2ch0OBky,25,2006,classical,0.32,0.0596,7,-26.603,1,0.0396,0.805,0.0118,0.0928,0.294,86.968,136626,4
1046586,Faith Evans,Soulful Christmas,4P1mX7gOR7T98OQj4Ff84n,16,2005,soul,0.674,0.815,4,-4.527,0,0.106,0.0992,0.0,0.347,0.744,113.38,186410,4
767162,Rajkumar Bharathi,Vadirajakrutha Navagraha Stotram,3rpnEqnNDmgbONAFv9hEx9,0,2001,indian,0.73,0.34,9,-7.379,1,0.0637,0.698,0.0,0.105,0.298,126.933,85200,5
1423721,Real Friends,Monday,5XJL1tspWF1FnSAvvw2B8a,20,2011,emo,0.439,0.873,1,-4.235,1,0.119,0.00928,0.0,0.0819,0.492,161.668,199374,4
401047,The Comet Is Coming,The Seven Planetary Heavens,4S0ttcUk7a3otYIsrU7CfN,31,2019,jazz,0.565,0.556,5,-7.916,0,0.0344,0.193,0.906,0.272,0.246,110.893,391307,4
119702,David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",5b2bu6yyATC1zMXDGScJ2d,60,2014,dance,0.596,0.73,9,-4.091,1,0.151,0.24,0.0,0.325,0.525,85.979,192560,4
118272,K Trevor Wilson,Fire Story,0UVQlFlkPliXbHyPNASG3a,12,2014,comedy,0.428,0.709,10,-10.514,1,0.931,0.859,0.0,0.469,0.402,52.421,418816,4
343705,My Life With The Thrill Kill Kult,The Chains of Fame,2rUFooktlV9HXV5O4A64Lr,7,2018,industrial,0.588,0.752,4,-7.81,0,0.0364,0.000167,0.414,0.485,0.674,126.023,234321,4
470692,Madds Buckley,"Fuyunohanashi (From ""Given"") - Acoustic",79xHjfUlsAR18lOOi8vCnr,24,2020,singer-songwriter,0.368,0.224,6,-11.312,1,0.031,0.852,0.0,0.105,0.193,132.658,217907,4
432257,Gabriel Rutledge,Gary,2DyTWkKKst3YuAMA8YYvO0,3,2020,comedy,0.521,0.591,7,-12.728,1,0.923,0.831,0.0,0.725,0.539,75.723,181602,4
1061423,Blowfly,Neither One Of Us,2PsscNbqbgmdjaroq149MH,1,2006,comedy,0.446,0.269,5,-19.411,1,0.075,0.583,0.00089,0.93,0.475,133.862,133693,4
181742,Ludwig van Beethoven,"Beethoven: Violin Sonata No. 9 in A Major, Op. 47, ""Kreutzer"": I. Adagio sostenuto - Presto",0DGu9j2cTl3PwGVq0v1fDF,13,2015,german,0.336,0.237,9,-18.261,0,0.087,0.934,0.166,0.349,0.108,75.177,664027,4
845486,David Cedeño,America United Instruimental,5ocerjbmJ72bfy81DF1Mu3,0,2002,salsa,0.699,0.468,4,-11.575,0,0.0256,0.191,0.0264,0.058,0.356,107.0,248280,4
621066,Millows,Girls Just Wanna Have Fun,70Gsno8tFv3qHXGetP5bJA,40,2023,swedish,0.765,0.679,11,-9.914,1,0.115,0.0299,0.00106,0.392,0.623,124.075,122903,4
